date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-12-31,4077.75,4098.14,4096.58,4069.01,123264256.0,14.95,0.37,4043.42,4025.434,3973.654,126792334.4,124328693.6,117749095.6
2019-12-30,4015.52,4083.69,4081.63,4001.5,155971488.0,59.6,1.48,4022.696,4019.956,3961.38,121337291.2,132118562.4,115266444.8
2019-12-27,4029.25,4066.8,4022.03,4019.72,150926400.0,-3.96,-0.1,3999.79,4010.548,3949.101,114706243.2,131370080.8,111338479.2
2019-12-26,3993.67,4025.99,4025.99,3993.54,108860640.0,35.12,0.88,3998.834,4005.167,3939.433,108774496.0,131134575.2,107499376.0
2019-12-25,3988.66,4000.56,3990.87,3976.36,94938888.0,-2.09,-0.05,3999.066,3991.67,3931.249,110582478.4,128719344.0,105317850.0
2019-12-24,3971.56,3994.51,3992.96,3963.67,95989040.0,25.86,0.65,4007.448,3982.858,3925.486,121865052.8,129202003.2,104392770.8
2019-12-23,4014.69,4032.17,3967.1,3964.38,122816248.0,-50.15,-1.25,4017.216,3973.6,3920.421,142899833.6,128229392.0,105168995.6
2019-12-20,4032.15,4046.73,4017.25,4014.93,121267664.0,-9.9,-0.25,4021.306,3966.435,3915.976,148033918.4,125483148.0,104331497.6
2019-12-19,4034.62,4038.54,4027.15,4014.9,117900552.0,-5.63,-0.14,4011.5,3954.949,3907.613,153494654.4,121221270.4,102820246.4
2019-12-18,4039.72,4057.64,4032.78,4025.34,151351760.0,-9.02,-0.22,3984.274,3940.17,3900.736,146856209.6,118336335.2,100381745.6
2019-12-17,3987.74,4067.14,4041.8,3984.52,201162944.0,54.25,1.36,3958.268,3921.874,3894.49,136538953.6,111169497.6,96654924.4
2019-12-16,3970.71,3987.59,3987.55,3953.51,148486672.0,19.33,0.49,3929.984,3902.803,3889.752,113558950.4,98414327.2,90704828.4
2019-12-13,3928.0,3969.46,3968.22,3925.28,148571344.0,77.2,1.98,3911.564,3887.654,3885.771,102932377.6,91306877.6,87112794.4
2019-12-12,3908.45,3908.45,3891.02,3886.12,84708328.0,-11.73,-0.3,3898.398,3873.699,3881.214,88947886.4,83864176.8,83870773.2
2019-12-11,3907.16,3909.39,3902.75,3890.34,99765480.0,2.37,0.06,3896.066,3870.827,3881.956,89816460.8,81916356.0,83985779.2
2019-12-10,3886.44,3900.96,3900.38,3882.09,86262928.0,4.93,0.13,3885.48,3868.114,3881.818,85800041.6,79583538.4,82834959.2
2019-12-09,3909.53,3911.97,3895.45,3885.25,95353808.0,-6.94,-0.18,3875.622,3867.241,3881.983,83269704.0,82108599.2,82348966.4
2019-12-06,3885.06,3902.39,3902.39,3878.7,78648888.0,23.03,0.59,3863.744,3865.517,3882.36,79681377.6,83179847.2,82289057.2
2019-12-05,3863.61,3883.4,3879.36,3859.82,89051200.0,29.54,0.77,3849.0,3860.277,3885.891,78780467.2,84419222.4,83211960.0
2019-12-04,3841.66,3852.99,3849.82,3831.07,79683384.0,-1.27,-0.03,3845.588,3861.301,3891.516,74016251.2,82427156.0,83122144.8
2019-12-03,3829.21,3851.12,3851.09,3811.63,73611240.0,15.03,0.39,3850.748,3867.105,3898.269,73367035.2,82140351.2,84003623.2
2019-12-02,3835.51,3854.75,3836.06,3829.31,77412176.0,7.39,0.19,3858.86,3876.7,3905.855,80947494.4,82995329.6,85968655.2
2019-11-29,3857.19,3861.66,3828.67,3804.83,74144336.0,-33.63,-0.87,3867.29,3883.887,3912.958,86678316.8,82918711.2,87307739.2
2019-11-28,3877.9,3887.69,3862.3,3852.01,65230120.0,-13.32,-0.34,3871.554,3888.729,3919.144,90057977.6,83877369.6,88635003.2
2019-11-27,3883.43,3889.98,3875.62,3862.7,76437304.0,-16.03,-0.41,3877.014,3893.085,3920.367,90838060.8,86055202.4,89709224.4
2019-11-26,3893.43,3899.11,3891.65,3869.59,111513536.0,13.44,0.35,3883.462,3895.521,3921.147,90913667.2,86086380.0,89781005.2
2019-11-25,3850.97,3878.25,3878.21,3839.42,106066288.0,28.22,0.73,3894.54,3896.725,3922.076,85043164.8,82589333.6,88318182.0
2019-11-22,3894.17,3918.84,3849.99,3833.5,91042640.0,-39.61,-1.02,3900.484,3899.202,3924.495,79159105.6,81398267.2,87885168.8
2019-11-21,3894.54,3901.83,3889.6,3875.97,69130536.0,-18.26,-0.47,3905.904,3911.504,3926.835,77696761.6,82004697.6,87205717.6
2019-11-20,3940.13,3943.23,3907.86,3901.99,76815336.0,-39.18,-0.99,3909.156,3921.731,3925.889,81272344.0,83817133.6,87315919.6
2019-11-19,3904.1,3947.04,3947.04,3902.38,82161024.0,39.11,1.0,3907.58,3929.433,3924.05,81259092.8,85866895.2,86985084.0
2019-11-18,3874.44,3913.1,3907.93,3868.32,76645992.0,30.84,0.8,3898.91,3935.01,3921.492,80135502.4,88941980.8,86322960.8
2019-11-15,3908.49,3915.1,3877.09,3877.09,83730920.0,-28.77,-0.74,3897.92,3942.029,3920.137,83637428.8,91696767.2,86199807.2
2019-11-14,3905.93,3916.95,3905.86,3895.14,87008448.0,5.88,0.15,3917.104,3949.559,3919.752,86312633.6,93392636.8,86129318.4
2019-11-13,3905.28,3908.42,3899.98,3882.43,76749080.0,-3.71,-0.1,3934.306,3947.648,3920.72,86361923.2,93363246.4,85022083.2
2019-11-12,3905.96,3914.88,3903.69,3877.74,76543072.0,0.71,0.02,3951.286,3946.773,3921.855,90474697.6,93475630.4,85346114.4
